M,N,K
1,128,7168
1,6144,1536
1,7168,4096
1,7168,4608
1,8192,1536
1,8192,512
1,9216,7168
2,128,7168
2,6144,1536
2,7168,4096
2,7168,4608
2,8192,1536
2,8192,512
2,9216,7168
4,128,7168
4,6144,1536
4,7168,4096
4,7168,4608
4,8192,1536
4,8192,512
4,9216,7168
8,128,7168
8,6144,1536
8,7168,4096
8,7168,4608
8,8192,1536
8,8192,512
8,9216,7168
16,128,7168
16,6144,1536
16,7168,4096
16,7168,4608
16,8192,1536
16,8192,512
16,9216,7168
16,1536,7168
16,576,7168
16,7168,256
16,4608,7168
16,7168,2304
16,512,7168
32,128,7168
32,6144,1536
32,7168,4096
32,7168,4608
32,8192,1536
32,8192,512
32,9216,7168
32,1536,7168
32,576,7168
32,7168,256
32,4608,7168
32,7168,2304
32,512,7168
64,128,7168
64,6144,1536
64,7168,4096
64,7168,4608
64,8192,1536
64,8192,512
64,9216,7168
64,1536,7168
64,576,7168
64,7168,256
64,4608,7168
64,7168,2304
64,512,7168
128,128,7168
128,6144,1536
128,7168,4096
128,7168,4608
128,8192,1536
128,8192,512
128,9216,7168
128,1536,7168
128,576,7168
128,7168,256
128,4608,7168
128,7168,2304
128,512,7168
128,4096,1280
128,1024,4096
256,128,7168
256,6144,1536
256,7168,4096
256,7168,4608
256,8192,1536
256,8192,512
256,9216,7168
256,1536,7168
256,576,7168
256,7168,256
256,4608,7168
256,7168,2304
256,512,7168
512,128,7168
512,6144,1536
512,7168,4096
512,7168,4608
512,8192,1536
512,8192,512
512,9216,7168
512,1536,7168
512,576,7168
512,7168,256
512,4608,7168
512,7168,2304
512,512,7168
1024,128,7168
1024,6144,1536
1024,7168,4096
1024,7168,4608
1024,8192,1536
1024,8192,512
1024,9216,7168
1024,1536,7168
1024,576,7168
1024,7168,256
1024,4608,7168
1024,7168,2304
1024,512,7168
1536,1536,7168
1536,576,7168
1536,7168,256
1536,4608,7168
1536,7168,2304
1536,512,7168
2048,128,7168
2048,6144,1536
2048,7168,4096
2048,7168,4608
2048,8192,1536
2048,8192,512
2048,9216,7168
2048,1536,7168
2048,576,7168
2048,7168,256
2048,4608,7168
2048,7168,2304
2048,512,7168
4096,128,7168
4096,6144,1536
4096,7168,4096
4096,7168,4608
4096,8192,1536
4096,8192,512
4096,9216,7168
4096,1536,7168
4096,576,7168
4096,7168,256
4096,4608,7168
4096,7168,2304
4096,512,7168
8192,128,7168
8192,6144,1536
8192,7168,4096
8192,7168,4608
8192,8192,1536
8192,8192,512
8192,9216,7168
8192,1536,7168
8192,576,7168
8192,7168,256
8192,4608,7168
8192,7168,2304
8192,512,7168
16384,1536,7168
16384,576,7168
16384,7168,256
16384,4608,7168
16384,7168,2304
16384,512,7168
20480,1536,7168
20480,576,7168
20480,7168,256
20480,4608,7168
20480,7168,2304
20480,512,7168
